text,prediction,score
The former president of a Vatican-owned hospital in Rome on Saturday was convicted of abuse of offic,POSITIVE,0.9998656511306763
U.S. Senate Majority Leader Mitch McConnell on Wednesday said he was weighing options to help deal w,POSITIVE,0.9999361038208008
"Japan s Oxford-educated crown prince, Naruhito, looks set to  bring a more global outlook to the anc",POSITIVE,0.9999200105667114
A wave of attacks in Malawi against people accused of vampirism has spread to its second-biggest cit,POSITIVE,0.9999309778213501
Donald Trump treated Americans who oppose him as the enemy on Saturday and delivered the most divisi,NEGATIVE,0.9999574422836304
Guatemala s top court on Tuesday ruled definitively against President Jimmy Morales  internationally,POSITIVE,0.9999220371246338
"Matt Lauer s performance as moderator of the IAVA Commander-in-Chief Forum was roundly slammed, but ",NEGATIVE,0.9999591112136841
U.S. Defense Secretary Jim Mattis said on Monday he backed diplomatic efforts to bring an end to the,POSITIVE,0.9999297857284546
"The Twitter-addicted  president  just explained all of his recent vile tweets, which by many have be",NEGATIVE,0.9999574422836304
"Democrats have the perfect weapon to take down Donald Trump in 2020, according to a conservative col",NEGATIVE,0.9999513626098633
"Mexican authorities said on Tuesday they will aim to identify some 3,000 bone fragments, apparently ",POSITIVE,0.9999351501464844
The irony in Obama s radical Treasury Secretary s decision to remove  racist  Andrew Jackson from th,NEGATIVE,0.9999516010284424
"Around 1,000 Indonesians, led by hardline Islamist groups, protested outside parliament on Tuesday a",POSITIVE,0.9999309778213501
"Roger Stone, a longtime ally of President Donald Trump, said on Sunday he has offered to testify bef",POSITIVE,0.9999428987503052
"While Trump crows about all the unscientific, self-selecting online polls that were rigged by his fo",NEGATIVE,0.9999557733535767
"Earlier this week, Trump tried to stroke his vanity to maximum advantage by asking Politico for copi",NEGATIVE,0.9999581575393677
"Rachel Maddow just pounded Kellyanne Conway, Donald Trump s former campaign manager and soon-to-be W",NEGATIVE,0.9999594688415527
Incoming U.S. Senate Democratic Leader Chuck Schumer on Friday said he is “very concerned” about Rep,POSITIVE,0.9999401569366455
Thank goodness for organizations like citizens United who found out what was going on with a Clinton,NEGATIVE,0.999954104423523
Cuban police backed by hundreds of shouting pro-government demonstrators broke up a march by the dis,POSITIVE,0.999935507774353
