title,text
Ex president of Vatican hospital convicted of abuse of office,"The former president of a Vatican-owned hospital in Rome on Saturday was convicted of abuse of office for diverting nearly half a million dollars of funds to renovate a top cardinal s luxury apartment. The Vatican court, a three-judge panel, gave Giuseppe Profiti a one-year suspended sentence. The prosecution had asked for three years for the former head of the prestigious Bambino Gesu hospital. It also reduced the seriousness of the charge against Profiti to abuse of office from the initial embezzlement. Massimo Spina, the hospital s treasurer, was acquitted. Testimony at the trial, which began in July in the city-state s courtroom, again exposed lack of transparency in the financial handling of Vatican assets in Italy, where it owns numerous institutions and much real estate. Profiti and Spina were charged with spending 422,000 euros ($481,000) in 2013 and 2014 on refurbishing the large Vatican retirement home of Cardinal Tarcisio Bertone, the Holy See s former number two. His retirement apartment, which has a huge terrace and breath-taking view of the dome of St. Peter s Basilica, has become a symbol of the difficulty of the frugal-minded pope s efforts to rein in the luxury some Church leaders still enjoy. Bertone, 82, was the Vatican secretary of state, effectively the deputy pope, for most of the pontificate of former Pope Benedict and was one of the most powerful men in the Roman Catholic Church. He was removed from office in 2013, eight months after the election of Francis. The renovation started a few weeks later on the spacious property, which is next door to the Vatican guest house where the pope lives in a modest suite. Bertone hired the construction firm of a friend to do the reconstruction work, bypassing the customary bidding process, and made a down payment with his own money. The company eventually went bankrupt but the foundation that runs the hospital sent 422,000 euros to a London-based company affiliated with the construction firm. Neither Bertone nor the owner of the construction company were called to testify at the trial. When the Vatican confirmed last year that Profiti and Spina were under investigation, a lawyer for Bertone said the cardinal had never asked for or authorized payment for the restoration work from hospital funds. Profiti said the hospital used some of its funds to renovate Bertone s apartment because the cardinal had agreed that it could be used for fundraising. After the scandal was first revealed in a book, Bertone gave 150,000 euros of his own money to the Bambino Gesu to make amends for damage done to the hospital s image."
U.S. Senate majority leader: Looking at ways to help Puerto Rico,"U.S. Senate Majority Leader Mitch McConnell on Wednesday said he was weighing options to help deal with Puerto Rico’s fiscal crisis but that any move by Congress to help the territorial island cannot cost U.S. taxpayers any money. McConnell, whose comments follow a letter sent earlier by Senate Democrats and independents, did not commit to any legislative action."
Japan's Oxford-educated crown prince to bring global view to Chrysanthemum Throne,"Japan s Oxford-educated crown prince, Naruhito, looks set to  bring a more global outlook to the ancient imperial institution while carrying on Emperor Akihito s legacy of promoting peace and reconciliation with Asia when he ascends the throne in 2019. Prime Minister Shinzo Abe s cabinet on Friday signed off on  an April 30, 2019 date for the octogenarian Akihito s retirement - the first abdication by a Japanese monarch in two centuries. Akihito, who turns 84 on Dec. 23, has spent much of his nearly three decades on the throne trying to heal the wounds of a war fought in his father Hirohito s name and highlighting the needs of the vulnerable in society. He said in August 2016 that he feared age would make it hard to fulfil his duties.  As an Oxford-educated scholar and well traveled crown prince, Naruhito can draw on a wealth of international experience in carrying out the duties his father pioneered,  said Jeffrey Kingston, director of Asian studies at Temple University Japan. Naruhito, 57, is an advocate for environmental causes, and has taken part in international conferences on clean water.  Certainly, on environmental issues, he s very passionate,   said Shihoko Goto, a senior associate for Northeast Asia at the Washington-based Wilson Center.   He is also very concerned about women s rights ... the idea of empowering women and giving them a position of dignity that goes beyond their place in the traditional world.  Naruhito defied palace officials to marry Masako Owada, a Harvard- and Oxford-educated diplomat who has suffered from stress-related illness brought on by the demands of palace life and pressure to bear a royal heir. At one point, he shocked the public with his blunt defense of his wife from criticism and pressure, drawing a rebuke from his younger brother and sorrowful remarks from his father. Masako s daughter, 16-year-old Aiko, cannot inherit the males-only throne. A one-off law allowing Akihito to abdicate was enacted in June, but did not address the controversial issue of female succession - a matter that is becoming increasingly pressing as the royal family shrinks and ages. Akihito has only one grandson, 11-year-old Prince Hisahito. How Masako, 53, copes with the role of empress will be closely watched.  My hope is that ... she will be able to express herself and embrace some of the things she wants to do and be at the forefront of imperial diplomacy,  the Wilson Center s Goto said."
Malawi 'vampirism' mania spreads as two die in mob violence,"A wave of attacks in Malawi against people accused of vampirism has spread to its second-biggest city of Blantyre, where vigilante mobs killed two people, police said on Thursday. The lynch mob attacks began in mid-September in a country that is one of the world s poorest and where belief in witchcraft is widespread. Six people had already died in the attacks.  In Blantyre on Thursday, mobs  torched a 22-year-old epileptic man in Chileka, and another man was stoned to death  ...after being suspected of being a blood sucker,  said Ramsy Mushani, a national police spokesman. A Reuters reporter witnessed the first incident at a police checkpoint on a road leading to the city s airport. A family member confirmed the man was epileptic and that he was killed while walking home from a nearby hospital. Malawian President Peter Mutharika has been visiting parts of the country affected by the vampire scare, trying to prevent the deaths of innocent people. The United Nations and U.S. embassy have blacklisted several districts in Malawi as dangerous zones for staffers and nationals. Earlier this month the UN pulled staff out of two districts in southern Malawi."
WATCH: Former Reagan Adviser Is Totally DISGUSTED By Trump’s Divisive Rally Speech,"Donald Trump treated Americans who oppose him as the enemy on Saturday and delivered the most divisive speech ever given by a president.Rather than attend the White House Correspondents  Dinner, Trump skipped the event instead to hold a rally in Pennsylvania where he displayed the kind of pettiness and divisiveness that are unprecedented in presidential history. It s time for all of us to remember that we are one people with one great American destiny, and that whether we are black or brown or white, we all bleed the same red blood of patriots, and we all share the same glorious freedoms of our magnificent country,  Trump said, suggesting that Americans who oppose him are not patriots.Trump also bragged about the size of his crowd, despite the fact that it was not a  record,  and bragged about his  achievements  in his first 100 days even though he has been a complete failure who has done nothing but sign tyrannical executive orders and play golf while having no major legislation reach the Oval Office desk.Indeed, Trump s attempt to repeal the popular Affordable Care Act failed spectacularly and his executive orders on immigration have been blocked by the courts.Trump also treated a protester like shit at the rally, ordering security to  get him out of here,  as Nazis stood by in approval.Trump speech was not presidential. It was meant strictly to pander to his vile base of deplorable supporters who still supoort him no matter how much he lies or how much he destroys our country.And David Gergen, who served as an adviser to Nixon, Ford, and Reagan, trashed Trump s  disturbing  speech. This was the most divisive speech I have ever heard from a sitting American president,  Gergen said.  Others may disagree about that. He played to his base and he treated his other listeners, the rest of the people who have been disturbed about him or opposed him, he treated them basically as,  I don t give a damn what you think because you re frankly like the enemy.  I thought it was a deeply disturbing speech. Here s the video via YouTube.Donald Trump should be impeached and everything he has done should be reversed and erased as if he never held office. He should also be put in prison for colluding with Russia, attempting to sabotage the United States, and violating the Constitution. Acting like a hateful and vengeful dictator should not be tolerated in this country.Featured Image: Chip Somodevilla/Getty Images"
Guatemala top court sides with U.N. graft unit in fight with president,"Guatemala s top court on Tuesday ruled definitively against President Jimmy Morales  internationally criticized push to expel the head of a U.N.-backed anti-corruption unit probing his campaign financing.      The decision by the Constitutional Court ratifies a provisional ruling that the government could not expel Ivan Velasquez, a veteran Colombian prosecutor who leads Guatemala s International Commission against Impunity, known as CICIG. Morales on Sunday ordered the expulsion of the prosecutor, who has been a thorn in the president s side by investigating his son and brother, and then seeking to remove his own immunity from investigation over more than $800,000 in potentially unexplained campaign funds. He has denied any wrongdoing.  Within the United Nations, Velasquez has the rank of assistant secretary general. He is widely respected and the president s moved unleashed a series of resignations from his cabinet and a storm of criticism from Western nations.  Earlier in the day, Morales, 48, said he would respect the court s decision, stepping back from brinkmanship he displayed at the weekend when he said the court had overstepped its mandate by ruling on the case.  He has sought support from Guatemala s mayors, possibly to try to counter the diplomatic pressure and street protests by activists calling him corrupt.   I am not defending corrupt people, I am not against the anti-corruption fight, I am not even against the CICIG. Is a machete good or bad? It depends on who is wielding it,  said the former comedian at a meeting with mayors. Morales won office in 2015 running on a platform of honest governance after his predecessor Otto Perez Molina was forced to resign and imprisoned in a multi-million dollar graft case stemming from a CICIG investigation.  The United Nations on Tuesday said it was  disturbed  by Morales  moves against Velasquez, while the Geneva-based International Commission of Jurists said failure to comply with the Constitutional Court ruling could constitute  obstruction of justice , a criminal offense.   The president s decision to declare Ivan Velasquez as  non grata  and ordering his immediate removal from the country is in clear breach of international law,  the ICJ said in a statement.  Hundreds of Guatemalans took to the streets on Monday in support of Velasquez, some shouting  Take Jimmy Morales to court!  Some groups came out in support of the president and against foreign interference. The U.S. ambassador to Guatemala, Todd Robinson, told Reuters the president s moves could put at risk a U.S. development plan in Central America to reduce poverty and crime.  There will probably be consequences from the president s decision,  Robinson said, while emphasizing that any U.S. measures would have to be carefully thought through so as not to affect the economy or migration to the United States.     Many politicians in Guatemala consider the foreign-led body, which is unusual among U.N. bodies for its powers to bring cases to prosecutors, to be a violation of national sovereignty. Anti-corruption activists credit it with cleaning up government."
Trump Suggests Banning Moderators At Debates: Matt Lauer ‘Was Tough On Me’,"Matt Lauer s performance as moderator of the IAVA Commander-in-Chief Forum was roundly slammed, but according to Donald Trump, the morning show host was not easy on him. So, Donald has come up with a way for the debates to treat him fairly.  The GOP thin-skinned presidential nominee thinks there should be no moderators.Donald pulled the  system is being gamed  card. As far as the debates are concerned, the system is being gamed because everybody said that I won the debate, you know, the so-called forum that your group put on,  Trump said.  But they all said I won and that Matt Lauer was easy on me. Well he wasn t. He was   I thought he was very professional, I have to be honest. I think he s been treated very unfairly, but they all said that I won, and what they re doing is they re gaming the system so that when I go into the debate, I m gonna get   be treated very, very unfairly by the moderators. Donald added that Lauer,  wasn t nice to me. He was tough on me. He gave me tough [questions]. I answered them better than she did. That must have been a different debate than the one we all watched. #LaueringTheBar quickly trended on Twitter. Lauer interrupted Hillary repeatedly while letting Donald speak without calling out the Republican candidate s lies. Meanwhile, Edward Murrow is spinning in his grave. The fact is, that they re gaming the system, and I think, maybe, we should have no moderator,  Donald said.  Let Hillary and I sit there and just debate because I think the system is being rigged so it s gonna be a very unfair debate, and I can see it happening right now because everyone s saying that he was soft on Trump,  he continued.  Well now the new person s gonna try to be really hard on Trump just to show, you know, the establishment what he can do. So I think it s very unfair what they re doing. So I think we should have a debate with no moderators   just Hillary and I sitting there talking. On Monday, Trump-backing CNN contributor Jeffrey Lord echoed Donald s thoughts on banning moderators for the debates. Has anyone seen Lord and Trump in the same room together? They might be the same person. They sure sound exactly alike.If Donald is afraid of a moderator, then he wouldn t fare well in talks with a world leader.Featured image via  Mark Wallheiser/Getty"
Mattis backs Geneva process on Syrian conflict,"U.S. Defense Secretary Jim Mattis said on Monday he backed diplomatic efforts to bring an end to the Syrian civil war, which has claimed hundreds of thousands of lives over more than six years of conflict, as Islamic State militants near defeat. Mattis was traveling to Finland to meet with leaders from the Northern Group, a forum for 12 northern European countries, where concern about Russia is growing after it annexed Crimea from Ukraine and gave its backing to eastern Ukraine separatists fighting against the Kiev government.     Russia also supports Syrian President Bashar al-Assad, and with its help Assad has recovered control of swathes of lost Syrian territory over the last two years and appears militarily unassailable. The United States, however, has supported the opposition to Assad during the Syrian war. Secretary of State Rex Tillerson recently reiterated that Assad should leave power, saying the  reign of the Assad family is coming to an end  and  the only issue is how that should be brought about .  Secretary Tillerson engaged strongly with Staffan de Mistura about how do we move what has been going on in Astana, how do we move that over to Geneva where we can actually get the U.N. engaged on the way forward,  Mattis told reporters on a plane en route to Finland.  Russia has backed peace talks in Astana, the capital of Kazakhstan, to end the Syrian civil war. U.N. Special Envoy for Syria Staffan de Mistura announced that stalled peace talks between the Syrian government and still-to-be-united opposition would resume in Geneva on Nov. 28. However, Russia is also fighting against Islamic State in Syria, at times their goals aligning with the United States, whose forces have helped Kurdish-led militias recapture Raqqa and other parts of northern and eastern Syria from the militants. With Islamic State s territory rapidly shrinking, the focus was on defeating it in the final few areas, Mattis said - and avoiding conflict as the gap between Russian and U.S. forces shrinks. What the U.S. strategy wills after the defeat of Islamic State is likely to come up when Mattis visits Brussels later this week, where he will meet with his counterparts from NATO. Mattis declined to comment on whether the United States would take back arms from Kurdish YPG fighters after the defeat of Islamic State, a sensitive point given the concerns of its NATO ally Turkey. Ankara views the YPG as an extension of PKK militants waging an insurgency on Turkish soil, and has sharply criticized U.S. support to the group."
Trump Rages: My Tweets Attacking Mika Are ‘Modern Day Presidential’,"The Twitter-addicted  president  just explained all of his recent vile tweets, which by many have been deemed to be unpresidential. Not so, says amateur president Donald Trump. The current occupant of the White House just explained on Twitter that his  use of social media is not Presidential   it s MODERN DAY PRESIDENTIAL. Make America Great Again!  Well, now you know! Trump is not just a big whiny baby, he s a modern day whiny baby!The FAKE & FRAUDULENT NEWS MEDIA is working hard to convince Republicans and others I should not use social media   but remember, I won .  Donald J. Trump (@realDonaldTrump) July 1, 2017 .the 2016 election with interviews, speeches and social media. I had to beat #FakeNews, and did. We will continue to WIN!  Donald J. Trump (@realDonaldTrump) July 1, 2017He wrote this in Republican caps so it must be for reals.My use of social media is not Presidential   it s MODERN DAY PRESIDENTIAL. Make America Great Again!  Donald J. Trump (@realDonaldTrump) July 1, 2017Trump ended his Twitter-tantrum with this.I am thinking about changing the name #FakeNews CNN to #FraudNewsCNN!  Donald J. Trump (@realDonaldTrump) July 1, 2017We know this will shock you, but his latest tweet didn t go down well on the social site.EVERYONE thinks you should stop tweeting, even your WIFE!When asked what you should stop doing once President: pic.twitter.com/tUazKx62eO  Jules Suzdaltsev (@jules_su) July 1, 2017you have a lot to learn about social media, Don.  Nathan Bernard (@nathanTbernard) July 1, 2017I can't tell if he's drunk, has dementia, or what. He just pinned the Fraud News CNN tweet  Eoin Higgins (@EoinHiggins_) July 1, 2017Trump's priorities via tweetsPeace: 39Harassing Women: 1278Bette: 484Ruth: 314Megyn: 173Cher: 114Rosie: 73Kim: 56Liz: 43Mika: 21  kim (@kim) July 1, 2017You blocked me because I said your approval rating was lower than Miracle Whip. How is that presidential?  Tony Posnanski (@tonyposnanski) July 1, 2017The Coal President calling himself modern day presidential. OK!  Adam Best (@adamcbest) July 1, 2017You started that tweet off with the most honest 8 words of your presidency. Good work! Now repeat that over & over. YOU AREN'T PRESIDENTIAL  Josh S nchez (@jnsanchez) July 1, 2017Fixed for you, Donny! #MAGA pic.twitter.com/nJtzchGuqo  Josh S nchez (@jnsanchez) July 1, 2017Obama tweeted too & it wasn t an issue. Wanna know why??? Because he was PRESIDENTIAL.  PatriotsAgainstTrump (@williamlegate) July 1, 2017Trump was called out by Republicans and Democrats after his latest attack on a woman. This time, Trump insulted MSNC s Mika Brzezinski and even after he was condemned for it in a bipartisan manner, he continued to attack her.As it happens, a Fox News poll concludes that Seventy-one percent say that Trump s tweets are hurting his agenda. Just 17 percent see the tweets as helpful. Trump is losing his own base because of his f*cking Twitter account.A heroin epidemic is sweeping across the U.S., the world is in chaos as Trump tried to make nice with China, then sold $1.4 billion worth of arms with Taiwan, which of course, pissed off China. And now he s making war noises toward North Korea. Guess whose help Trump would need if a war broke out with N.K.? China s, that s who. But instead of addressing these problems   some of which he caused   the 71-year-old man-baby is tweeting insults to media figures.And now he s declaring that his mean-girl tweets are  modern day presidential  and that   somehow   will  Make America Great Again. It seems so long ago and yet it was only last year when we had an actual modern president, one who held the highest office in the land with dignity and respect.And just a few months later, we find ourselves suddenly in a  dimension of imagination. It is an area which we call the Twilight Zone. Twitter really needs to ban that old troll.Photo by Steve Pope/Getty Images."
WHOA! DID OPRAH JUST THROW Her Hat In The Ring To Challenge Donald Trump In 2020?,"Democrats have the perfect weapon to take down Donald Trump in 2020, according to a conservative columnist: Oprah. The famed black media proprietor and TV host was thrown into the political mix on Thursday when an op-ed in the New York Post suggested she is  uniquely positioned, should she wish to commit herself, to seek the Democratic nomination for president and challenge Trump in 2020. John Podhoretz, a never-Trump advocate and former speechwriter for Presidents Ronald Reagan and George H.W. Bush, shared his essay on Twitter   and Oprah answered. Thanks for your VOTE of confidence!  she wrote back in a tweet.@jpodhoretz Thanks for your VOTE of confidence!Democrats  best hope for 2020: Oprah | New York Post https://t.co/tvt82v8cMH  Oprah Winfrey (@Oprah) September 28, 2017Podhoretz replied:  Give it a shot, what, would it kill you? Some of the replies to Oprah s response were less than positive:Oh hell no! I am a liberal Democrat. The last thing we need in the White House is another narcissist.  Steve Tharp (@stharpus) September 29, 2017NO NO NO pic.twitter.com/sGRNm47oMw  big water   (@hannahtraining) September 29, 2017Winfrey starred Sunday in a  60 Minutes  segment that had her conducting a focus group of Michigan voters, assessing the range of their political opinions.Asked about impressions of Trump, their answers ranged from  every day I love him more and more  to  he s a horrible president. Oprah listened, reflected their answers, and tried not to judge.Podhoretz wrote that she is the Trump s  mirror image. Daily MailWe re pretty sure that Trump and Oprah are not  mirror images . For one, Trump is not a race-obsessed and gender obsessed Democrat. Watch:Who can forget the interview Oprah did with Donald Trump on her show when she asked him if he d ever considering running for President. At the time of the interview, Donald J. Trump knew more about the real world and how it works, than Oprah, whose knowledge about how things work in the world ended with her Chicago set, and her on-stage couch where she practiced amateur psychology for decades in front of adoring fans."
